Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"09 Jun, 2026","10 Jun, 2026","11 Jun, 2026","12 Jun, 2026","13 Jun, 2026","14 Jun, 2026","15 Jun, 2026"
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Total complaints - Poor quality,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Total complaints - Wrong order,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Total complaints - Missing items,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Self logs other ors,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Lost sales (Rs),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Online %,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,Offline time (in hours),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,KPT (in minutes),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer experience,FOR accuracy (%),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Impressions,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Impressions to menu (%),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Menu opens,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Menu to cart (%),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Cart builds,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Cart to orders (%),0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer funnel,Placed Orders,0,0,0,0,0,0,0
22349810,Ustad Beliram Mutton Waale,Sector 61,Delhi NCR,Customer segmentation,New user orders,0,0,0,0,0,0,0
