Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,Mar 2026,Apr 2026,May 2026
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Offers,Orders with offers,395082.53,294357.72,328172.47
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Offers,Gross sales from offers (Rs),1302,980,1228
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Offers,Discount given (Rs),105143.44847679138,100890.30607925355,124938.38106000423
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Offers,Effective discount (%),26.613034027125536,34.27472753481297,38.07095139208086
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Sales,Delivered orders,1251,1301,892
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Sales,Sales (Rs),460048.06591796875,396837.328125,274494.3291015625
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Sales,Market share (%),0,0,0
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Average rating,3.986087122271138,3.958150021235148,3.889429038570773
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Rated orders,155,171,103
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Bad orders,97,111,68
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Rejected orders,7,4,5
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,KPT+10 delayed orders,25,30,20
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Poor rated orders,43,52,28
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Total complaints,34,42,23
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Non-refunded complaints,21,25,12
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Total complaints - Poor packaging,3,6,2
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Total complaints - Poor quality,19,23,9
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Total complaints - Wrong order,8,4,8
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Total complaints - Missing items,10,14,7
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Self logs other ors,30,33,24
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Lost sales (Rs),2545.6,1379.58,2105
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Online %,99.48,99.36,99.43
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,Offline time (in hours),2,2,2
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,KPT (in minutes),12.5914,11.8094,11.3002
20919286,Deccan Platters,Koramangala 6th Block,Bengaluru,Customer experience,FOR accuracy (%),91.6,91,91.3
